	Home Team	Home Win	Draw	Away Team	Away Win	site
0	leeds	    1.78	    4.10	burnley	    4.40 	betika
1	west ham	    2.40	    3.50	brighton	    3.10 	betika
2	liverpool	    1.17	    8.50	west brom	    17.00 	betika
3	wolves	    3.40	    3.20	tottenham	    2.30 	betika
4	police tero	    1.56	    4.20	trat	    5.00 	betika
5	nong bua pitchaya	    1.18	    5.60	ranong united	    13.00 	betika
6	utrecht	    2.80	    3.90	az alkmaar	    2.30 	betika
7	denizlispor	    2.38	    3.25	ankaragucu	    3.15 	betika
8	yeni malatyaspor	    1.64	    4.00	e buyuksehir	    5.50 	betika
9	basaksehir	    1.54	    4.60	kasimpasa	    5.50 	betika
10	antwerp	    2.20	    3.40	charleroi	    3.30 	betika
11	genk	    1.34	    5.60	waasland-beveren	    8.00 	betika
12	anderlecht	    1.68	    4.10	beerschot wilrijk	    4.75 	betika
13	al ahli doha	    6.60	    4.75	al duhail	    1.40 	betika
14	nakhon ratchasima	    1.58	    3.90	rayong	    5.20 	betika
15	ceramica cleopatra	    5.50	    3.50	pyramids	    1.64 	betika
16	metlaoui	    1.65	    3.30	kairouanaise	    5.80 	betika
17	etoile	    1.78	    3.15	monastir	    5.00 	betika
18	s tunisien	    1.80	    3.25	rejiche	    4.60 	betika
19	al khaleel	    1.18	    6.40	wadi al-nes	    13.00 	betika
20	famalicao	    2.88	    3.10	gil vicente	    2.75 	betika
21	nacional	    2.05	    3.40	tondela	    4.00 	betika
22	belenenses	    8.00	    4.60	sporting	    1.46 	betika
23	kv mechelen	    1.60	    4.20	mouscron-peruwelz	    5.50 	betika
24	al khoor	    6.60	    4.33	al rayyan	    1.44 	betika
25	lecce	    1.65	    4.10	vicenza	    5.00 	betika
26	al-rustaq	    5.00	    3.90	dhofar	    1.62 	betika
27	setif	    1.76	    3.30	paradou	    4.80 	betika
28	ain m&apos;lila	    1.80	    3.05	bordj bou arreridj	    5.20 	betika
29	tlemcen	    1.75	    3.25	skikda	    5.00 	betika
30	chlef	    1.73	    3.20	bel abbes	    5.20 	betika
31	usm alger	    1.62	    3.40	hussein dey	    6.20 	betika
32	atletico palmaflor	    5.80	    4.33	jorge wilstermann	    1.48 	betika
33	robres cd	    1.65	    3.50	ad sabinanigo	    4.80 	betika
34	al riffa	    1.26	    5.20	malkiya	    10.00 	betika
35	al hidd	    1.50	    4.10	busaiteen	    5.80 	betika
36	csd arzua	    1.40	    4.33	vista alegre	    6.60 	betika
37	osmanlispor	    7.00	    4.20	samsunspor	    1.42 	betika
38	royal pari sion	    1.17	    7.00	real potosi	    13.00 	betika
39	oriente petrolero	    1.35	    5.00	san jose	    7.50 	betika
40	nacional potosi	    1.18	    6.60	real santa cruz	    12.00 	betika
41	bolivar	    1.65	    4.10	always ready	    4.33 	betika
42	sporting farense	    2.95	    3.20	pacos ferreira	    2.65 	betika
43	textil escudo	    1.44	    4.00	cd revilla	    6.40 	betika
44	teruel	    1.44	    4.33	belchite 97	    6.60 	betika
45	gimnastica torrelavega	    1.24	    5.60	uc cartes	    9.00 	betika
46	arandina	    1.32	    4.60	cd cebrerena	    7.50 	betika
47	al seeb	    1.32	    5.00	nizwa	    8.00 	betika
48	bnei yehuda	    3.60	    3.10	h beer sheva	    2.15 	betika
49	botafogo rj	    2.80	    3.15	corinthians	    2.70 	betika
