	Time	Home Team	Away Team	Home Win	Draw	Away Win	site
0	Sun 19:30	liverpool	wba	1.20	6.75	14.0	mozzat
1	Sun 15:00	leeds	burnley	1.97	3.50	3.90	mozzat
2	Sun 22:15	wolverhampton	tottenham	3.25	3.10	2.35	mozzat
3	Sun 18:00	genk	waas beveren	1.35	5.30	8.00	mozzat
4	Sun 17:15	west ham	brighton	2.50	3.25	2.90	mozzat
5	Sun 23:00	belenenses	sporting	6.25	3.90	1.58	mozzat
6	Sun 19:00	basaksehir	kasimpasa	1.68	3.85	5.10	mozzat
7	Sun 16:30	utrecht	az alkmaar	2.90	3.45	2.40	mozzat
8	Sun 20:15	anderlecht	beerschot wilrijk	1.72	3.90	4.70	mozzat
9	Sun 16:00	malatyaspor	erzurum	1.67	3.70	5.40	mozzat
10	Sun 15:30	antwerp	charleroi	2.35	3.30	3.05	mozzat
11	Sun 18:00	famalicao	gil vicente	2.80	3.00	2.75	mozzat
12	Sun 22:45	mechelen	moeskroen	1.65	3.80	5.50	mozzat
13	Sun 18:00	al riffa	malkiya	1.30	4.80	9.50	mozzat
14	Sun 13:30	gazisehir gaziantep	alanyaspor	2.70	3.25	2.65	mozzat
15	Sun 18:00	nacional	tondela	2.05	3.35	3.80	mozzat
16	Sun 17:00	lecce	vicenza	1.73	3.80	4.70	mozzat
17	Sun 20:30	farense	ferreira	2.90	2.95	2.70	mozzat
18	Sun 13:00	nong bua pitchaya	ranong	1.20	6.00	10.5	mozzat
19	Mon 20:30	chelsea	aston villa	1.72	3.90	4.70	mozzat
20	16.02. Tue 23:00	rb leipzig	liverpool	3.10	3.40	2.30	mozzat
21	16.02. Tue 23:00	barcelona	psg	2.30	3.45	3.05	mozzat
22	17.02. Wed 23:00	porto	juventus	3.90	3.40	1.98	mozzat
23	17.02. Wed 23:00	sevilla	dortmund	2.50	3.25	2.90	mozzat
24	23.02. Tue 23:00	lazio	bayern	5.40	4.00	1.62	mozzat
25	23.02. Tue 23:00	atl madrid	chelsea	2.55	3.00	3.00	mozzat
26	24.02. Wed 23:00	m  gladbach	man city	5.50	3.80	1.65	mozzat
27	24.02. Wed 23:00	atalanta	real madrid	3.25	3.45	2.20	mozzat
